GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.utils,JsonUtils,53,66,0,0,12,18,1,4,1,4
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.utils,CsvUtils,143,69,8,2,26,19,8,5,4,4
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.utils,CommonUtils,28,121,0,4,7,24,1,9,1,7
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.utils,YmlUtils,121,21,4,0,29,6,7,2,5,2
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.utils.messages,LoggerMessage,26,53,1,1,7,8,5,3,4,3
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.toolbox,ModelToJson,0,30,0,2,0,7,0,3,0,2
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.toolbox,CsvToModel,0,126,0,8,0,28,0,9,0,5
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.toolbox,ModelToYaml,0,30,0,2,0,7,0,3,0,2
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.toolbox,Main,297,0,42,0,55,0,31,0,6,0
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.toolbox,ModelToPHP,0,77,0,4,0,15,0,5,0,3
ProgrammersToolbox_Translations,com.lkprogramator.tool_translations.translation,TranslationsByLanguage,10,132,6,8,5,27,6,9,0,8
